ID,PFAS,assay,expo,p_ratio,order_CL
1,PFOS,2D,Single,0.0004089,6
1,PFOS,2D,Single,0.000398129,6
1,PFOS,2D,Single,0.000416008,6
1,PFOS,2D,Single,0.000473776,6
2,PFOS,2D,Mixture,6.30E-05,5
2,PFOS,2D,Mixture,9.66E-05,5
2,PFOS,2D,Mixture,3.73E-05,5
2,PFOS,2D,Mixture,2.69E-05,5
7,PFBS,2D,Single,0.088774101,6
7,PFBS,2D,Single,0.085829578,6
7,PFBS,2D,Single,0.096641596,6
8,PFBS,2D,Mixture,0.07389581,5
8,PFBS,2D,Mixture,0.073467773,5
8,PFBS,2D,Mixture,0.075871064,5
13,PFHxA,2D,Single,0.117471479,6
13,PFHxA,2D,Single,0.106761216,6
13,PFHxA,2D,Single,0.115914493,6
13,PFHxA,2D,Single,0.12623357,6
14,PFHxA,2D,Mixture,0.127458579,5
14,PFHxA,2D,Mixture,0.132187613,5
14,PFHxA,2D,Mixture,0.130728635,5
14,PFHxA,2D,Mixture,0.137794631,5
